model_name,total_queries,answerable_queries,unanswerable_queries,recall_at_1,recall_at_3,recall_at_5,precision_at_1,precision_at_3,precision_at_5,mrr,ndcg_at_5,faithfulness,citation_precision,hallucination_rate,abstention_precision,abstention_recall,abstention_f1,mean_latency_ms,mean_prompt_tokens,mean_completion_tokens,mean_total_tokens,token_savings_percent
PetroRAG (Full Architecture),50,40,10,0.75,0.9625,1.0,0.75,0.325,0.205,0.8633,0.8982,0.95,0.4625,0.05,0.9091,1.0,0.9524,6.75,283.5,52.3,335.8,20.1
Ablation 1 (\ Hybrid Retrieval),50,40,10,0.85,0.8875,0.9125,0.85,0.3,0.185,0.88,0.8851,0.9,0.4375,0.1,0.8889,0.8,0.8421,2.66,224.3,53.7,278.0,11.48
Ablation 2 (\ Metadata Filtering),50,40,10,0.75,0.9625,1.0,0.75,0.325,0.205,0.8633,0.8982,0.95,0.4625,0.05,0.8889,0.8,0.8421,16.01,296.1,53.7,349.8,21.03
Ablation 3 (\ Cross-Encoder Reranker),50,40,10,0.75,0.9625,1.0,0.75,0.325,0.205,0.8633,0.8982,0.95,0.4625,0.05,0.9091,1.0,0.9524,6.84,283.5,52.3,335.8,20.1
Ablation 4 (\ Context Compression),50,40,10,0.75,0.9625,1.0,0.75,0.325,0.205,0.8633,0.8982,0.95,0.4625,0.05,0.9091,1.0,0.9524,6.02,417.3,52.3,469.6,0.0
Ablation 5 (\ Grounding Verifier),50,40,10,0.75,0.9625,1.0,0.75,0.325,0.205,0.8633,0.8982,0.95,0.4625,0.05,0.9091,1.0,0.9524,7.08,283.5,52.3,335.8,20.1
Ablation 6 (\ Multi-Barrier Abstention),50,40,10,0.75,0.9625,1.0,0.75,0.325,0.205,0.8633,0.8982,0.95,0.475,0.05,1.0,0.2,0.3333,7.51,293.4,58.6,352.0,17.14
